county,TotalCases,state
Albemarle,32,Virginia
Amherst,6,Virginia
Appomattox,0,Virginia
Arlington,181,Virginia
Augusta,8,Virginia
Bedford,4,Virginia
Bland,0,Virginia
Brunswick,1,Virginia
Buchanan,0,Virginia
Buckingham,4,Virginia
Campbell,2,Virginia
Caroline,1,Virginia
Carroll,1,Virginia
Charles City,4,Virginia
Charlotte,1,Virginia
Clarke,2,Virginia
Culpeper,8,Virginia
Cumberland,2,Virginia
Dinwiddie,0,Virginia
Essex,0,Virginia
Grayson,0,Virginia
Greene,3,Virginia
Greensville,4,Virginia
Halifax,2,Virginia
Hanover,12,Virginia
Henrico,194,Virginia
Highland,0,Virginia
Isle of Wight,18,Virginia
King and Queen,1,Virginia
Lee,2,Virginia
Louisa,14,Virginia
Lunenburg,0,Virginia
Madison,3,Virginia
Mathews,2,Virginia
Middlesex,0,Virginia
New Kent,9,Virginia
Northampton,2,Virginia
Northumberland,3,Virginia
Patrick,0,Virginia
Pittsylvania,2,Virginia
Powhatan,4,Virginia
Prince George,18,Virginia
Prince William,175,Virginia
Pulaski,1,Virginia
Rockbridge,3,Virginia
Rockingham,16,Virginia
Russell,0,Virginia
Tazewell,2,Virginia
Warren,4,Virginia
Westmoreland,2,Virginia
Wythe,2,Virginia
York,20,Virginia
Alexandria,74,Virginia
Bristol,1,Virginia
Chesapeake,72,Virginia
Danville,12,Virginia
Harrisonburg,25,Virginia
Lynchburg,10,Virginia
Manassas Park,2,Virginia
Martinsville,0,Virginia
Newport News,51,Virginia
Norfolk,59,Virginia
Salem,1,Virginia
Waynesboro,2,Virginia
Williamsburg,12,Virginia
Winchester,11,Virginia
Accomack,11,Virginia
Alleghany,2,Virginia
Amelia,6,Virginia
Bath,0,Virginia
Botetourt,15,Virginia
Chesterfield,108,Virginia
Craig,0,Virginia
Dickenson,0,Virginia
Fairfax,426,Virginia
Fauquier,10,Virginia
Floyd,0,Virginia
Fluvanna,7,Virginia
Franklin,14,Virginia
Frederick,27,Virginia
Giles,0,Virginia
Gloucester,10,Virginia
Goochland,15,Virginia
Henry,3,Virginia
James City,117,Virginia
King George,8,Virginia
King William,2,Virginia
Lancaster,1,Virginia
Loudoun,167,Virginia
Mecklenburg,12,Virginia
Montgomery,6,Virginia
Nelson,2,Virginia
Nottoway,1,Virginia
Orange,5,Virginia
Page,2,Virginia
Prince Edward,3,Virginia
Rappahannock,0,Virginia
Richmond County,1,Virginia
Roanoke County,5,Virginia
Scott,0,Virginia
Shenandoah,12,Virginia
Smyth,2,Virginia
Southampton,5,Virginia
Spotsylvania,24,Virginia
Stafford,41,Virginia
Surry,3,Virginia
Sussex,4,Virginia
Washington,5,Virginia
Wise,1,Virginia
Buena Vista City,4,Virginia
Charlottesville,23,Virginia
Colonial Heights,0,Virginia
Covington,1,Virginia
Emporia,2,Virginia
Falls Church,0,Virginia
Fredericksburg,7,Virginia
Galax,1,Virginia
Hampton,40,Virginia
Hopewell,10,Virginia
Lexington,3,Virginia
Manassas City,14,Virginia
Norton,0,Virginia
Petersburg,10,Virginia
Poquoson,3,Virginia
Portsmouth,26,Virginia
Radford,1,Virginia
Richmond,99,Virginia
Roanoke,10,Virginia
Staunton,1,Virginia
Suffolk,22,Virginia
Virginia Beach,170,Virginia
Allegany,6,Maryland
Anne Arundel,319,Maryland
Baltimore City,394,Maryland
Baltimore,590,Maryland
Calvert,39,Maryland
Caroline,4,Maryland
Carroll,142,Maryland
Cecil,36,Maryland
Charles,111,Maryland
Dorchester,1,Maryland
Frederick,112,Maryland
Garrett,3,Maryland
Harford,52,Maryland
Howard,199,Maryland
Kent,5,Maryland
Montgomery,693,Maryland
Prince Georges,785,Maryland
Queen Annes,13,Maryland
St Marys,40,Maryland
Somerset,4,Maryland
Talbot,7,Maryland
Washington,34,Maryland
Wicomico,11,Maryland
Worcester,9,Maryland
washington,998,district of columbia
